series,episode,bakers,technical,result,signature_bake,show_stopper,baker_age,baker_occupation,hometown
1,1,Annetha,2,IN,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",30,Midwife,Essex
1,1,David,3,IN,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",31,Entrepreneur,Milton Keynes
1,1,Edd,1,IN,Caramel Cinnamon and Banana Cake,N/A,24,Debt collector for Yorkshire Bank,Bradford
1,1,Jonathan,9,IN,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry,25,Research Analyst,St Albans
1,1,Miranda,8,IN,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,1,Lea,10,OUT,Cranberry and Pistachio Cakewith Orange Flower Water Icing,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit,51,Retired,"Midlothian, Scotland"
1,2,David,8,IN,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,31,Entrepreneur,Milton Keynes
1,2,Edd,6,IN,Oatmeal Raisin Cookie,Pink Macarons,24,Debt collector for Yorkshire Bank,Bradford
1,2,Jasminder,2,IN,Millionaires' Shortbread,Meringues with Chocolate and Space DustCoffee flavoured Eclairs,45,Assistant Credit Control Manager,Birmingham
1,2,Jonathan,1,IN,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream,25,Research Analyst,St Albans
1,2,Miranda,3,IN,Fresh Vanilla Biscuits with Royal Icing,Pistachio Macarons,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,2,Ruth,5,IN,Peanut Shortbread withSalted Peanut Caramel,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs,31,Retail manager/Housewife,"Poynton, Cheshire"
1,2,Annetha,7,OUT,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs,30,Midwife,Essex
1,2,Louise,4,OUT,Stained Glass Window Shortbread,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons",44,Police Officer,Manchester
1,3,David,4,IN,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun",31,Entrepreneur,Milton Keynes
1,3,Edd,1,IN,Olive Bread,Tomato and Mozzarella,24,Debt collector for Yorkshire Bank,Bradford
1,3,Jasminder,5,IN,Focaccia,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots",45,Assistant Credit Control Manager,Birmingham
1,3,Miranda,3,IN,Walnut and Apricot Bread,"Lemon Iced Buns
Chocolate and Orange Buns",37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,3,Ruth,2,IN,Maple and Pecan Bread,"Chocolate and Orange Panettone
Cranberry Bagels",31,Retail manager/Housewife,"Poynton, Cheshire"
1,3,Jonathan,6,OUT,"Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun",25,Research Analyst,St Albans
1,4,Edd,3,IN,Apple and Plum Pudding,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer",24,Debt collector for Yorkshire Bank,Bradford
1,4,Jasminder,2,IN,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble",45,Assistant Credit Control Manager,Birmingham
1,4,Miranda,1,IN,Sticky Toffee Pudding,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble",37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,4,Ruth,4,IN,Peach and Blueberry Boy Bait,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings",31,Retail manager/Housewife,"Poynton, Cheshire"
1,4,David,5,OUT,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",31,Entrepreneur,Milton Keynes
1,5,Edd,2,IN,"Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés",24,Debt collector for Yorkshire Bank,Bradford
1,5,Miranda,1,IN,"Summery Salmon, Cod and Prawn Fish Pie","Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés",37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,5,Ruth,3,IN,Minced Beef Pie,"Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés",31,Retail manager/Housewife,"Poynton, Cheshire"
1,5,Jasminder,4,OUT,Chicken and Mushroom Pie,"Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés",45,Assistant Credit Control Manager,Birmingham
2,1,Ben,2,IN,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream,31,Graphic Designer,Northampton
2,1,Ian,10,IN,Apple and Cinnamon Cupcakes,UNKNOWN,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
2,1,Janet,8,IN,Raspberry and Cream Cupcakes,Chocolate Marble Cakewith Dark and White Chocolate Truffles,63,Teacher of Modern Languages,"Formby, Liverpool"
2,1,Jason,6,IN,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,UNKNOWN,19,Civil Engineering Student,Croydon
2,1,Joanne,11,IN,Chocolate Orange CupcakesOrange and Cardamom Cupcakes,Chocolate and Strawberry Cake,41,Housewife,"Ongar, Essex"
2,1,Mary-Anne,4,IN,Banoffee Cupcakes,Chocolate and Raspberry Opera cake,45,Housewife,"Kidderminster, Worcestershire"
2,1,Robert,3,IN,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,Genoise Layered Mousse Cakewith Chocolate Ganache,25,Photographer,London
2,1,Simon,9,IN,Guinness and Chocolate Cupcakes,Two-Tiered Chocolate Courgette Cake,31,Rugby Coach,Norfolk
2,1,Urvashi,7,IN,Cherry Blossom CupcakesJapanese Lime Cupcakes,UNKNOWN,40,Head of Marketing,"Enfield, London"
2,1,Yasmin,5,IN,Cardamom and Pomegranate Cupcakes,UNKNOWN,43,Childminder,"West Kirby, The Wirral"
2,1,Keith,12,OUT,Earl Grey Cupcakes,Chocolate and Sour Cream Cake,31,House husband,"Arlesey, Bedfordshire"
2,1,Holly,1,STAR BAKER,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,UNKNOWN,31,Advertising executive,Leicester
2,2,Ben,1,IN,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts,31,Graphic Designer,Northampton
2,2,Holly,4,IN,Pesto Quiche,Milk Chocolate and Pistachio TartsTrifle Tarts,31,Advertising executive,Leicester
2,2,Ian,2,IN,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",UNKNOWN,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
2,2,Janet,8,IN,Quiche Printanière,Red Fruit TartsChocolate and Cherry Tarts,63,Teacher of Modern Languages,"Formby, Liverpool"
2,2,Joanne,10,IN,"Caramelised Onion, Gruyere and Thyme Quiche",Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust,41,Housewife,"Ongar, Essex"
2,2,Mary-Anne,9,IN,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts,45,Housewife,"Kidderminster, Worcestershire"
2,2,Robert,5,IN,Smoked Bacon and Kale Quiche,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart",25,Photographer,London
2,2,Urvashi,7,IN,"Crab, Coriander and Coconut Quiche",Strawberry and Basil TartsElderflower and Honeycomb Tarts,40,Head of Marketing,"Enfield, London"
2,2,Yasmin,6,IN,Smoked Haddock and Watercress Quiche,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts,43,Childminder,"West Kirby, The Wirral"
2,2,Simon,11,OUT,Smoked Haddock and Watercress Quiche,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts",31,Rugby Coach,Norfolk
2,2,Jason,3,STAR BAKER,Salmon and Pak Choi Quiche,Mint Chocolate Tarts Blueberry Bakewell Tarts,19,Civil Engineering Student,Croydon
2,3,Ben,3,IN,"Walnut, Raisin and Rosemary Loaf",UNKNOWN,31,Graphic Designer,Northampton
2,3,Holly,6,IN,Picnic Loaf,Stilton and Walnut Rolls,31,Advertising executive,Leicester
2,3,Janet,8,IN,Zupfe Loaf with Gruyère Cheese,Apple and Walnut Granary Rolls Red Onion Cottage Rolls,63,Teacher of Modern Languages,"Formby, Liverpool"
2,3,Jason,7,IN,Cheese and Onion Tear and Share Loaf,UNKNOWN,19,Civil Engineering Student,Croydon
2,3,Joanne,1,IN,"Stromboli flavored with Mozzarella, Ham, and Picante Pepper",Unknown,41,Housewife,"Ongar, Essex"
2,3,Mary-Anne,5,IN,Ploughman's Loaf,Herb and Walnut BreadsChocolate and Chilli Buns,45,Housewife,"Kidderminster, Worcestershire"
2,3,Robert,4,IN,Rye and Coriander Seed Loaf,Blueberry Brioche RollsLemon and Poppy Seed Rolls,25,Photographer,London
